name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage_kmpl,engine_cc,max_power_bhp,seats,brand,model,model_variants,km_driven_bin,engine_bin,mileage_bin
Maruti Ritz LDi,2016,400000,60000,Diesel,Individual,Manual,Third Owner,23.2,1248,73.94,5.0,Maruti,Ritz,LDi,50000 km - 60000 km,1200 cc - 1300 cc,20 kmpl - 25 kmpl
Maruti Swift VDI BSIV,2014,425000,65000,Diesel,Individual,Manual,First Owner,25.2,1248,74.0,5.0,Maruti,Swift,VDI BSIV,60000 km - 70000 km,1200 cc - 1300 cc,25 kmpl - 30 kmpl
Maruti Celerio ZXI,2014,325000,48000,Petrol,Individual,Manual,First Owner,23.1,998,67.04,5.0,Maruti,Celerio,ZXI,40000 km - 50000 km,900 cc - 1000 cc,20 kmpl - 25 kmpl
Hyundai Grand i10 Magna,2016,350000,65300,Petrol,Individual,Manual,Second Owner,18.9,1197,82.0,5.0,Hyundai,Grand,i10 Magna,60000 km - 70000 km,1100 cc - 1200 cc,15 kmpl - 20 kmpl
Hyundai i20 1.2 Asta Dual Tone,2018,600000,40000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5.0,Hyundai,i20,1.2 Asta Dual Tone,30000 km - 40000 km,1100 cc - 1200 cc,15 kmpl - 20 kmpl
Chevrolet Beat Diesel,2012,120000,60000,Diesel,Individual,Manual,Second Owner,25.44,936,57.6,5.0,Chevrolet,Beat,Diesel,50000 km - 60000 km,900 cc - 1000 cc,25 kmpl - 30 kmpl
Maruti Alto K10 2010-2014 VXI,2012,200000,70000,Petrol,Individual,Manual,Second Owner,20.92,998,67.1,5.0,Maruti,Alto,K10 2010-2014 VXI,60000 km - 70000 km,900 cc - 1000 cc,20 kmpl - 25 kmpl
Maruti Alto LXi BSIII,2008,100000,70000,Petrol,Individual,Manual,Third Owner,19.7,796,46.3,5.0,Maruti,Alto,LXi BSIII,60000 km - 70000 km,700 cc - 800 cc,15 kmpl - 20 kmpl
Hyundai Grand i10 CRDi Asta,2014,350000,70000,Diesel,Individual,Manual,Second Owner,24.0,1120,70.0,5.0,Hyundai,Grand,i10 CRDi Asta,60000 km - 70000 km,1100 cc - 1200 cc,20 kmpl - 25 kmpl
Maruti Alto LXi,2006,85000,150000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5.0,Maruti,Alto,LXi,140000 km - 150000 km,700 cc - 800 cc,15 kmpl - 20 kmpl
Maruti Alto K10 VXI Optional,2019,399000,10000,Petrol,Individual,Manual,First Owner,23.95,998,67.05,5.0,Maruti,Alto,K10 VXI Optional,0 km - 10000 km,900 cc - 1000 cc,20 kmpl - 25 kmpl
Hyundai Verna 1.6 CRDI,2014,580000,56000,Diesel,Individual,Manual,First Owner,22.32,1582,126.3,5.0,Hyundai,Verna,1.6 CRDI,50000 km - 60000 km,1500 cc - 1600 cc,20 kmpl - 25 kmpl
Datsun RediGO T Option,2017,290000,30000,Petrol,Individual,Manual,First Owner,22.7,799,53.64,5.0,Datsun,RediGO,T Option,20000 km - 30000 km,700 cc - 800 cc,20 kmpl - 25 kmpl
Hyundai Grand i10 Magna,2014,380000,50000,Petrol,Individual,Manual,Second Owner,18.9,1197,82.0,5.0,Hyundai,Grand,i10 Magna,40000 km - 50000 km,1100 cc - 1200 cc,15 kmpl - 20 kmpl
Ford Figo Diesel EXI,2010,200000,120000,Diesel,Individual,Manual,First Owner,20.0,1399,68.0,5.0,Ford,Figo,Diesel EXI,110000 km - 120000 km,1300 cc - 1400 cc,15 kmpl - 20 kmpl
Maruti Wagon R LXI CNG,2018,390000,40000,CNG,Individual,Manual,First Owner,26.6,998,58.16,5.0,Maruti,Wagon,R LXI CNG,30000 km - 40000 km,900 cc - 1000 cc,25 kmpl - 30 kmpl
Hyundai Grand i10 1.2 Kappa Asta,2017,500000,27500,Petrol,Individual,Manual,First Owner,18.9,1197,81.86,5.0,Hyundai,Grand,i10 1.2 Kappa Asta,20000 km - 30000 km,1100 cc - 1200 cc,15 kmpl - 20 kmpl
Maruti Ertiga VDI,2012,520000,73000,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,7.0,Maruti,Ertiga,VDI,70000 km - 80000 km,1200 cc - 1300 cc,20 kmpl - 25 kmpl
Maruti Swift Dzire VDI,2017,650000,75000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5.0,Maruti,Swift,Dzire VDI,70000 km - 80000 km,1200 cc - 1300 cc,25 kmpl - 30 kmpl
Renault KWID Climber 1.0 MT,2018,380000,5000,Petrol,Individual,Manual,First Owner,23.01,999,67.0,5.0,Renault,KWID,Climber 1.0 MT,0 km - 10000 km,900 cc - 1000 cc,20 kmpl - 25 kmpl
Maruti Wagon R LXI LPG BSIV,2010,275000,50000,LPG,Individual,Manual,First Owner,26.2,998,58.2,5.0,Maruti,Wagon,R LXI LPG BSIV,40000 km - 50000 km,900 cc - 1000 cc,25 kmpl - 30 kmpl
Maruti Swift Dzire VDI,2015,520000,70000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5.0,Maruti,Swift,Dzire VDI,60000 km - 70000 km,1200 cc - 1300 cc,25 kmpl - 30 kmpl
Maruti Swift Dzire VDI,2015,610000,60000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5.0,Maruti,Swift,Dzire VDI,50000 km - 60000 km,1200 cc - 1300 cc,25 kmpl - 30 kmpl
Maruti Wagon R LXI,2004,85000,110000,Petrol,Individual,Manual,First Owner,18.9,998,67.1,5.0,Maruti,Wagon,R LXI,100000 km - 110000 km,900 cc - 1000 cc,15 kmpl - 20 kmpl
Renault Duster 85PS Diesel RxL Optional,2013,490000,95000,Diesel,Individual,Manual,First Owner,20.46,1461,83.8,5.0,Renault,Duster,85PS Diesel RxL Optional,90000 km - 100000 km,1400 cc - 1500 cc,20 kmpl - 25 kmpl
Hyundai EON Era Plus,2015,229999,34000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,5.0,Hyundai,EON,Era Plus,30000 km - 40000 km,800 cc - 900 cc,20 kmpl - 25 kmpl
Hyundai Grand i10 Sportz,2015,411000,25000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,5.0,Hyundai,Grand,i10 Sportz,20000 km - 30000 km,1100 cc - 1200 cc,15 kmpl - 20 kmpl
Maruti Eeco CNG 5 Seater AC BSIV,2019,362000,120000,CNG,Individual,Manual,Second Owner,21.94,1196,61.7,5.0,Maruti,Eeco,CNG 5 Seater AC BSIV,110000 km - 120000 km,1100 cc - 1200 cc,20 kmpl - 25 kmpl
Toyota Etios Cross 1.4L GD,2014,550000,31000,Diesel,Individual,Manual,First Owner,23.59,1364,67.06,5.0,Toyota,Etios,Cross 1.4L GD,30000 km - 40000 km,1300 cc - 1400 cc,20 kmpl - 25 kmpl
Maruti Wagon R LXI CNG,2018,459999,70000,CNG,Individual,Manual,First Owner,26.6,998,58.16,5.0,Maruti,Wagon,R LXI CNG,60000 km - 70000 km,900 cc - 1000 cc,25 kmpl - 30 kmpl
Maruti Ritz VXi (ABS) BS IV,2011,190000,47000,Petrol,Individual,Manual,First Owner,18.5,1197,85.8,5.0,Maruti,Ritz,VXi (ABS) BS IV,40000 km - 50000 km,1100 cc - 1200 cc,15 kmpl - 20 kmpl
Hyundai Santro Magna AMT BSIV,2019,499000,5000,Petrol,Individual,Automatic,First Owner,20.3,1086,68.0,5.0,Hyundai,Santro,Magna AMT BSIV,0 km - 10000 km,1000 cc - 1100 cc,20 kmpl - 25 kmpl
Maruti Eeco 7 Seater Standard BSIV,2018,358000,44000,Petrol,Individual,Manual,First Owner,15.37,1196,73.0,7.0,Maruti,Eeco,7 Seater Standard BSIV,40000 km - 50000 km,1100 cc - 1200 cc,15 kmpl - 20 kmpl
Toyota Etios Diesel TRD Sportivo,2012,278000,120000,Diesel,Individual,Manual,Second Owner,23.59,1364,67.1,5.0,Toyota,Etios,Diesel TRD Sportivo,110000 km - 120000 km,1300 cc - 1400 cc,20 kmpl - 25 kmpl
Fiat Grande Punto EVO 1.3 Active,2014,320000,39395,Diesel,Individual,Manual,First Owner,21.2,1248,75.0,5.0,Fiat,Grande,Punto EVO 1.3 Active,30000 km - 40000 km,1200 cc - 1300 cc,20 kmpl - 25 kmpl
Renault Fluence 1.5,2013,580000,67000,Diesel,Individual,Manual,Second Owner,20.4,1461,108.5,5.0,Renault,Fluence,1.5,60000 km - 70000 km,1400 cc - 1500 cc,20 kmpl - 25 kmpl
Honda City VX CVT,2019,1300000,20000,Petrol,Individual,Automatic,First Owner,17.4,1497,117.6,5.0,Honda,City,VX CVT,10000 km - 20000 km,1400 cc - 1500 cc,15 kmpl - 20 kmpl
Honda Amaze VX i-DTEC,2018,825000,40000,Diesel,Individual,Manual,First Owner,25.8,1498,98.6,5.0,Honda,Amaze,VX i-DTEC,30000 km - 40000 km,1400 cc - 1500 cc,25 kmpl - 30 kmpl
Toyota Corolla AE,2004,170000,120000,Petrol,Individual,Manual,Second Owner,13.4,1794,125.0,5.0,Toyota,Corolla,AE,110000 km - 120000 km,1700 cc - 1800 cc,10 kmpl - 15 kmpl
Toyota Fortuner 4x4 MT,2014,1700000,80000,Diesel,Individual,Manual,Second Owner,12.55,2982,168.5,7.0,Toyota,Fortuner,4x4 MT,70000 km - 80000 km,nan,10 kmpl - 15 kmpl
Hyundai Santro Sportz BSIV,2018,490000,7000,Petrol,Individual,Manual,First Owner,20.3,1086,68.0,5.0,Hyundai,Santro,Sportz BSIV,0 km - 10000 km,1000 cc - 1100 cc,20 kmpl - 25 kmpl
Mahindra XUV500 W4,2018,1050000,15000,Diesel,Individual,Manual,First Owner,16.0,2179,140.0,7.0,Mahindra,XUV500,W4,10000 km - 20000 km,2100 cc - 2200 cc,15 kmpl - 20 kmpl
Chevrolet Beat LT,2016,210000,50000,Petrol,Individual,Manual,First Owner,18.6,1199,76.8,5.0,Chevrolet,Beat,LT,40000 km - 50000 km,1100 cc - 1200 cc,15 kmpl - 20 kmpl
Mahindra Scorpio Intelli Hybrid S10,2016,1250000,30000,Diesel,Individual,Manual,First Owner,15.4,2179,120.0,7.0,Mahindra,Scorpio,Intelli Hybrid S10,20000 km - 30000 km,2100 cc - 2200 cc,15 kmpl - 20 kmpl
Maruti Swift VDI,2012,320000,120000,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,5.0,Maruti,Swift,VDI,110000 km - 120000 km,1200 cc - 1300 cc,20 kmpl - 25 kmpl
Chevrolet Optra Magnum 2.0 LT,2012,400000,64000,Diesel,Individual,Manual,First Owner,16.52,1991,123.7,5.0,Chevrolet,Optra,Magnum 2.0 LT,60000 km - 70000 km,1900 cc - 2000 cc,15 kmpl - 20 kmpl
Maruti Ritz VDi,2013,320000,120000,Diesel,Individual,Manual,First Owner,23.2,1248,73.94,5.0,Maruti,Ritz,VDi,110000 km - 120000 km,1200 cc - 1300 cc,20 kmpl - 25 kmpl
Toyota Corolla Altis Diesel D4DG,2012,600000,85000,Diesel,Individual,Manual,First Owner,21.43,1364,87.2,5.0,Toyota,Corolla,Altis Diesel D4DG,80000 km - 90000 km,1300 cc - 1400 cc,20 kmpl - 25 kmpl
Maruti Alto K10 2010-2014 VXI,2012,275000,50000,Petrol,Individual,Manual,First Owner,20.92,998,67.1,5.0,Maruti,Alto,K10 2010-2014 VXI,40000 km - 50000 km,900 cc - 1000 cc,20 kmpl - 25 kmpl
Maruti Alto LXi,2009,170000,59000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5.0,Maruti,Alto,LXi,50000 km - 60000 km,700 cc - 800 cc,15 kmpl - 20 kmpl
Chevrolet Beat Diesel LT,2012,155000,98000,Diesel,Individual,Manual,First Owner,25.44,936,57.6,5.0,Chevrolet,Beat,Diesel LT,90000 km - 100000 km,900 cc - 1000 cc,25 kmpl - 30 kmpl
Renault Duster 85PS Diesel RxL Plus,2015,620000,140000,Diesel,Individual,Manual,Second Owner,20.45,1461,83.8,5.0,Renault,Duster,85PS Diesel RxL Plus,130000 km - 140000 km,1400 cc - 1500 cc,20 kmpl - 25 kmpl
Hyundai Grand i10 1.2 Kappa Sportz Option,2017,530000,50000,Petrol,Individual,Manual,First Owner,18.9,1197,81.86,5.0,Hyundai,Grand,i10 1.2 Kappa Sportz Option,40000 km - 50000 km,1100 cc - 1200 cc,15 kmpl - 20 kmpl
Toyota Etios Liva VD,2015,550000,40000,Diesel,Individual,Manual,First Owner,23.59,1364,67.04,5.0,Toyota,Etios,Liva VD,30000 km - 40000 km,1300 cc - 1400 cc,20 kmpl - 25 kmpl
Honda City i DTEC SV,2014,600000,90000,Diesel,Individual,Manual,First Owner,26.0,1498,98.6,5.0,Honda,City,i DTEC SV,80000 km - 90000 km,1400 cc - 1500 cc,25 kmpl - 30 kmpl
Mahindra XUV500 W4,2014,649000,117000,Diesel,Individual,Manual,Third Owner,15.1,2179,140.0,7.0,Mahindra,XUV500,W4,110000 km - 120000 km,2100 cc - 2200 cc,15 kmpl - 20 kmpl
Honda City i DTEC SV,2014,625000,90000,Diesel,Individual,Manual,First Owner,26.0,1498,98.6,5.0,Honda,City,i DTEC SV,80000 km - 90000 km,1400 cc - 1500 cc,25 kmpl - 30 kmpl
Chevrolet Spark 1.0 PS,2010,125000,70000,Petrol,Individual,Manual,First Owner,16.0,995,63.0,5.0,Chevrolet,Spark,1.0 PS,60000 km - 70000 km,900 cc - 1000 cc,15 kmpl - 20 kmpl
Chevrolet Tavera Neo 3 LS 9 Str BSIII,2009,305000,230000,Diesel,Individual,Manual,Second Owner,13.58,2499,72.4,9.0,Chevrolet,Tavera,Neo 3 LS 9 Str BSIII,220000 km - 230000 km,2400 cc - 2500 cc,10 kmpl - 15 kmpl
Maruti SX4 ZXI MT BSIV Leather,2010,285000,155000,Petrol,Individual,Manual,Second Owner,15.5,1586,103.3,5.0,Maruti,SX4,ZXI MT BSIV Leather,150000 km - 160000 km,1500 cc - 1600 cc,15 kmpl - 20 kmpl
Tata Xenon XT EX 4X4,2015,600000,60000,Diesel,Individual,Manual,Second Owner,13.49,2179,138.03,5.0,Tata,Xenon,XT EX 4X4,50000 km - 60000 km,2100 cc - 2200 cc,10 kmpl - 15 kmpl
Mahindra KUV 100 mFALCON G80 K8,2016,426000,110000,Petrol,Individual,Manual,First Owner,18.15,1198,82.0,6.0,Mahindra,KUV,100 mFALCON G80 K8,100000 km - 110000 km,1100 cc - 1200 cc,15 kmpl - 20 kmpl
Tata Indica Vista Terra 1.4 TDI,2010,180000,120000,Diesel,Individual,Manual,First Owner,17.0,1405,71.0,5.0,Tata,Indica,Vista Terra 1.4 TDI,110000 km - 120000 km,1400 cc - 1500 cc,15 kmpl - 20 kmpl
Hyundai Verna 1.6 VGT CRDi,2011,400000,100000,Diesel,Individual,Manual,Second Owner,22.32,1582,126.32,5.0,Hyundai,Verna,1.6 VGT CRDi,90000 km - 100000 km,1500 cc - 1600 cc,20 kmpl - 25 kmpl
Chevrolet Beat LS,2010,120000,40000,Petrol,Individual,Manual,Second Owner,18.6,1199,79.4,5.0,Chevrolet,Beat,LS,30000 km - 40000 km,1100 cc - 1200 cc,15 kmpl - 20 kmpl
Tata Manza Aura (ABS) Quadrajet BS IV,2012,300000,110000,Diesel,Individual,Manual,Second Owner,21.12,1248,88.8,5.0,Tata,Manza,Aura (ABS) Quadrajet BS IV,100000 km - 110000 km,1200 cc - 1300 cc,20 kmpl - 25 kmpl
Maruti Alto K10 2010-2014 VXI,2011,190000,92500,Petrol,Individual,Manual,Second Owner,20.92,998,67.1,5.0,Maruti,Alto,K10 2010-2014 VXI,90000 km - 100000 km,900 cc - 1000 cc,20 kmpl - 25 kmpl
Maruti Alto 800 LXI,2017,310000,20000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,5.0,Maruti,Alto,800 LXI,10000 km - 20000 km,700 cc - 800 cc,20 kmpl - 25 kmpl
Renault KWID RXL,2019,380000,15000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5.0,Renault,KWID,RXL,10000 km - 20000 km,700 cc - 800 cc,25 kmpl - 30 kmpl
Mahindra Bolero Power Plus ZLX,2019,740000,14000,Diesel,Individual,Manual,First Owner,16.5,1493,70.0,7.0,Mahindra,Bolero,Power Plus ZLX,10000 km - 20000 km,1400 cc - 1500 cc,15 kmpl - 20 kmpl
Datsun RediGO T Option,2016,260000,35000,Petrol,Individual,Manual,First Owner,22.7,799,53.64,5.0,Datsun,RediGO,T Option,30000 km - 40000 km,700 cc - 800 cc,20 kmpl - 25 kmpl
Maruti Alto K10 VXI,2017,320000,32000,Petrol,Individual,Manual,Second Owner,23.95,998,67.05,5.0,Maruti,Alto,K10 VXI,30000 km - 40000 km,900 cc - 1000 cc,20 kmpl - 25 kmpl
Maruti Wagon R LXI CNG,2013,211000,90000,CNG,Individual,Manual,First Owner,26.6,998,58.16,5.0,Maruti,Wagon,R LXI CNG,80000 km - 90000 km,900 cc - 1000 cc,25 kmpl - 30 kmpl
Maruti Swift Dzire VXI 1.2 BS IV,2018,650000,35000,Petrol,Individual,Manual,First Owner,22.0,1197,81.8,5.0,Maruti,Swift,Dzire VXI 1.2 BS IV,30000 km - 40000 km,1100 cc - 1200 cc,20 kmpl - 25 kmpl
Maruti Swift Dzire VDI,2017,651000,32500,Diesel,Individual,Manual,Second Owner,28.4,1248,74.02,5.0,Maruti,Swift,Dzire VDI,30000 km - 40000 km,1200 cc - 1300 cc,25 kmpl - 30 kmpl
Maruti Alto K10 VXI AGS,2019,380000,14000,Petrol,Individual,Automatic,First Owner,23.95,998,67.05,5.0,Maruti,Alto,K10 VXI AGS,10000 km - 20000 km,900 cc - 1000 cc,20 kmpl - 25 kmpl
Chevrolet Beat Diesel LT,2014,160000,70000,Diesel,Individual,Manual,Third Owner,25.44,936,56.3,5.0,Chevrolet,Beat,Diesel LT,60000 km - 70000 km,900 cc - 1000 cc,25 kmpl - 30 kmpl
Hyundai Verna VTVT 1.6 AT SX Option,2019,1270000,20000,Petrol,Individual,Automatic,First Owner,17.0,1591,121.3,5.0,Hyundai,Verna,VTVT 1.6 AT SX Option,10000 km - 20000 km,1500 cc - 1600 cc,15 kmpl - 20 kmpl
Maruti Wagon R Duo Lxi,2011,300000,300000,LPG,Individual,Manual,First Owner,26.2,998,58.2,5.0,Maruti,Wagon,R Duo Lxi,290000 km - 300000 km,900 cc - 1000 cc,25 kmpl - 30 kmpl
Maruti Swift VDI Optional,2015,405000,100000,Diesel,Individual,Manual,First Owner,25.2,1248,74.0,5.0,Maruti,Swift,VDI Optional,90000 km - 100000 km,1200 cc - 1300 cc,25 kmpl - 30 kmpl
Mahindra XUV500 W8 2WD,2015,850000,64800,Diesel,Individual,Manual,First Owner,15.1,2179,140.0,7.0,Mahindra,XUV500,W8 2WD,60000 km - 70000 km,2100 cc - 2200 cc,15 kmpl - 20 kmpl
Mahindra Bolero Power Plus ZLX,2017,680000,90000,Diesel,Individual,Manual,First Owner,16.5,1493,70.0,7.0,Mahindra,Bolero,Power Plus ZLX,80000 km - 90000 km,1400 cc - 1500 cc,15 kmpl - 20 kmpl
Hyundai Xcent 1.2 Kappa SX Option,2014,426999,80000,Petrol,Individual,Manual,First Owner,19.1,1197,82.0,5.0,Hyundai,Xcent,1.2 Kappa SX Option,70000 km - 80000 km,1100 cc - 1200 cc,15 kmpl - 20 kmpl
Hyundai Verna 1.4 CRDi,2015,525000,248000,Diesel,Individual,Manual,First Owner,24.8,1396,88.7,5.0,Hyundai,Verna,1.4 CRDi,240000 km - 250000 km,1300 cc - 1400 cc,20 kmpl - 25 kmpl
Toyota Innova 2.5 VX (Diesel) 7 Seater,2014,1019999,60000,Diesel,Individual,Manual,Second Owner,12.99,2494,100.6,7.0,Toyota,Innova,2.5 VX (Diesel) 7 Seater,50000 km - 60000 km,2400 cc - 2500 cc,10 kmpl - 15 kmpl
Toyota Innova 2.5 G2,2005,245000,120000,Diesel,Individual,Manual,First Owner,12.8,2494,102.0,8.0,Toyota,Innova,2.5 G2,110000 km - 120000 km,2400 cc - 2500 cc,10 kmpl - 15 kmpl
Hyundai Elantra CRDi SX,2015,869999,120000,Diesel,Individual,Manual,First Owner,22.7,1582,126.2,5.0,Hyundai,Elantra,CRDi SX,110000 km - 120000 km,1500 cc - 1600 cc,20 kmpl - 25 kmpl
Maruti Wagon R Duo Lxi,2010,160000,66444,LPG,Individual,Manual,First Owner,26.2,998,58.2,5.0,Maruti,Wagon,R Duo Lxi,60000 km - 70000 km,900 cc - 1000 cc,25 kmpl - 30 kmpl
Maruti Vitara Brezza VDi Option,2016,700000,86000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5.0,Maruti,Vitara,Brezza VDi Option,80000 km - 90000 km,1200 cc - 1300 cc,20 kmpl - 25 kmpl
Nissan Sunny Diesel XV,2012,300000,90000,Diesel,Individual,Manual,First Owner,21.64,1461,84.8,5.0,Nissan,Sunny,Diesel XV,80000 km - 90000 km,1400 cc - 1500 cc,20 kmpl - 25 kmpl
Honda Civic 1.8 S AT,2007,175000,218463,Petrol,Individual,Automatic,First Owner,12.9,1799,130.0,5.0,Honda,Civic,1.8 S AT,210000 km - 220000 km,1700 cc - 1800 cc,10 kmpl - 15 kmpl
Toyota Innova 2.5 VX 8 STR,2012,960000,153000,Diesel,Individual,Manual,First Owner,12.8,2494,102.0,8.0,Toyota,Innova,2.5 VX 8 STR,150000 km - 160000 km,2400 cc - 2500 cc,10 kmpl - 15 kmpl
Mahindra Thar CRDe AC,2014,525000,70000,Diesel,Individual,Manual,Second Owner,16.55,2498,105.0,6.0,Mahindra,Thar,CRDe AC,60000 km - 70000 km,2400 cc - 2500 cc,15 kmpl - 20 kmpl
Hyundai Grand i10 CRDi Sportz,2015,345000,60000,Diesel,Individual,Manual,First Owner,24.0,1120,70.0,5.0,Hyundai,Grand,i10 CRDi Sportz,50000 km - 60000 km,1100 cc - 1200 cc,20 kmpl - 25 kmpl
Honda Amaze S i-Vtech,2015,390000,50000,Petrol,Individual,Manual,First Owner,18.0,1198,86.7,5.0,Honda,Amaze,S i-Vtech,40000 km - 50000 km,1100 cc - 1200 cc,15 kmpl - 20 kmpl
Datsun GO T Option BSIV,2015,275000,20000,Petrol,Individual,Manual,First Owner,20.63,1198,67.0,5.0,Datsun,GO,T Option BSIV,10000 km - 20000 km,1100 cc - 1200 cc,20 kmpl - 25 kmpl
Chevrolet Sail 1.2 LS ABS,2014,310000,35000,Petrol,Individual,Manual,First Owner,18.2,1199,82.4,5.0,Chevrolet,Sail,1.2 LS ABS,30000 km - 40000 km,1100 cc - 1200 cc,15 kmpl - 20 kmpl
Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,2017,500000,20000,Petrol,Individual,Manual,First Owner,18.9,1197,81.86,5.0,Hyundai,Grand,i10 1.2 Kappa Sportz Dual Tone,10000 km - 20000 km,1100 cc - 1200 cc,15 kmpl - 20 kmpl
Chevrolet Sail Hatchback LT ABS,2013,200000,70000,Diesel,Individual,Manual,First Owner,22.1,1248,76.9,5.0,Chevrolet,Sail,Hatchback LT ABS,60000 km - 70000 km,1200 cc - 1300 cc,20 kmpl - 25 kmpl
Volkswagen Polo 2015-2019 1.5 TDI Highline Plus,2018,650000,53000,Diesel,Individual,Manual,First Owner,20.14,1498,88.0,5.0,Volkswagen,Polo,2015-2019 1.5 TDI Highline Plus,50000 km - 60000 km,1400 cc - 1500 cc,20 kmpl - 25 kmpl
Honda City i-DTEC VX,2018,1031000,60000,Diesel,Individual,Manual,First Owner,25.6,1498,97.9,5.0,Honda,City,i-DTEC VX,50000 km - 60000 km,1400 cc - 1500 cc,25 kmpl - 30 kmpl
Hyundai EON 1.0 Era Plus,2018,330000,70000,Petrol,Individual,Manual,First Owner,20.3,998,68.05,5.0,Hyundai,EON,1.0 Era Plus,60000 km - 70000 km,900 cc - 1000 cc,20 kmpl - 25 kmpl
Hyundai Santro Era,2019,399000,4000,Petrol,Individual,Manual,First Owner,20.3,1086,68.0,5.0,Hyundai,Santro,Era,0 km - 10000 km,1000 cc - 1100 cc,20 kmpl - 25 kmpl
Hyundai i10 Magna,2012,250000,103000,Petrol,Individual,Manual,First Owner,20.36,1197,78.9,5.0,Hyundai,i10,Magna,100000 km - 110000 km,1100 cc - 1200 cc,20 kmpl - 25 kmpl
Hyundai Grand i10 1.2 CRDi Sportz Option,2017,600000,20000,Diesel,Individual,Manual,First Owner,24.0,1186,73.97,5.0,Hyundai,Grand,i10 1.2 CRDi Sportz Option,10000 km - 20000 km,1100 cc - 1200 cc,20 kmpl - 25 kmpl
Maruti Swift VDI,2013,375000,77000,Diesel,Individual,Manual,First Owner,22.9,1248,74.0,5.0,Maruti,Swift,VDI,70000 km - 80000 km,1200 cc - 1300 cc,20 kmpl - 25 kmpl
Volkswagen Vento Diesel Highline,2012,375000,90000,Diesel,Individual,Manual,First Owner,20.54,1598,103.6,5.0,Volkswagen,Vento,Diesel Highline,80000 km - 90000 km,1500 cc - 1600 cc,20 kmpl - 25 kmpl
Hyundai Verna 1.6 CRDi EX MT,2013,445000,87185,Diesel,Individual,Manual,Second Owner,22.32,1582,126.3,5.0,Hyundai,Verna,1.6 CRDi EX MT,80000 km - 90000 km,1500 cc - 1600 cc,20 kmpl - 25 kmpl
Maruti Wagon R LXI,2003,55000,167000,Petrol,Individual,Manual,Second Owner,18.9,998,67.1,5.0,Maruti,Wagon,R LXI,160000 km - 170000 km,900 cc - 1000 cc,15 kmpl - 20 kmpl
Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,611000,77000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5.0,Hyundai,i20,2015-2017 Asta 1.4 CRDi,70000 km - 80000 km,1300 cc - 1400 cc,20 kmpl - 25 kmpl
Hyundai Verna 1.4 CRDi,2014,459999,110000,Diesel,Individual,Manual,Second Owner,24.8,1396,88.7,5.0,Hyundai,Verna,1.4 CRDi,100000 km - 110000 km,1300 cc - 1400 cc,20 kmpl - 25 kmpl
Ford Fiesta EXi 1.4 TDCi Ltd,2011,275000,120000,Diesel,Individual,Manual,Second Owner,17.8,1399,68.0,5.0,Ford,Fiesta,EXi 1.4 TDCi Ltd,110000 km - 120000 km,1300 cc - 1400 cc,15 kmpl - 20 kmpl
Hyundai Santro Xing GLS CNG,2011,185000,170000,CNG,Individual,Manual,First Owner,11.88,1086,62.1,5.0,Hyundai,Santro,Xing GLS CNG,160000 km - 170000 km,1000 cc - 1100 cc,10 kmpl - 15 kmpl
Hyundai Verna 1.6 SX,2012,390000,100000,Diesel,Individual,Manual,Second Owner,22.32,1582,126.32,5.0,Hyundai,Verna,1.6 SX,90000 km - 100000 km,1500 cc - 1600 cc,20 kmpl - 25 kmpl
Chevrolet Spark 1.0 LT,2007,72000,40000,Petrol,Individual,Manual,Second Owner,18.0,995,62.0,5.0,Chevrolet,Spark,1.0 LT,30000 km - 40000 km,900 cc - 1000 cc,15 kmpl - 20 kmpl
Tata Indica V2 DL BSIII,2007,90000,50000,Diesel,Individual,Manual,First Owner,17.88,1396,52.8,5.0,Tata,Indica,V2 DL BSIII,40000 km - 50000 km,1300 cc - 1400 cc,15 kmpl - 20 kmpl
Toyota Etios GD,2015,500000,125000,Diesel,Individual,Manual,First Owner,23.59,1364,67.05,5.0,Toyota,Etios,GD,120000 km - 130000 km,1300 cc - 1400 cc,20 kmpl - 25 kmpl
Maruti Wagon R LXI CNG,2011,200000,137000,CNG,Individual,Manual,First Owner,26.2,998,58.2,5.0,Maruti,Wagon,R LXI CNG,130000 km - 140000 km,900 cc - 1000 cc,25 kmpl - 30 kmpl
Mahindra XUV500 W9 BSIV,2019,1575000,18000,Diesel,Individual,Manual,First Owner,15.1,2179,152.87,7.0,Mahindra,XUV500,W9 BSIV,10000 km - 20000 km,2100 cc - 2200 cc,15 kmpl - 20 kmpl
