brand,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,model,km_driven_binned,engine_binned,mileage_binned,max_power_binned
Mahindra,2007,300000,120000,Diesel,Individual,Manual,Third Owner,13.6,2523,63.0,7.0,Bolero,120000-129999,2500-2599,10-14.99,60-79
Hyundai,2015,900000,145000,Diesel,Individual,Manual,First Owner,22.7,1582,126.2,5.0,Elantra,140000-149999,1500-1599,20-24.990000000000002,120-139
Mahindra,2018,1530000,40000,Diesel,Individual,Manual,First Owner,16.0,2179,138.0,7.0,XUV500,40000-49999,2100-2199,15-19.990000000000002,120-139
Maruti,2015,590000,110000,Diesel,Individual,Manual,First Owner,27.39,1248,74.0,5.0,Baleno,110000-119999,1200-1299,25-29.990000000000002,60-79
Maruti,2008,170000,112000,LPG,Individual,Manual,Second Owner,17.3,1061,57.5,5.0,Wagon,110000-119999,1000-1099,15-19.990000000000002,40-59
Audi,2017,2600000,70000,Diesel,Individual,Automatic,First Owner,20.38,1968,143.0,5.0,A3,70000-79999,1900-1999,20-24.990000000000002,140-159
Maruti,2016,475000,110000,Diesel,Individual,Manual,First Owner,23.2,1248,73.94,5.0,Ritz,110000-119999,1200-1299,20-24.990000000000002,60-79
Hyundai,2018,700000,29000,Diesel,Individual,Manual,First Owner,24.0,1186,73.97,5.0,Grand,20000-29999,1100-1199,20-24.990000000000002,60-79
Maruti,2011,376000,60000,Petrol,Individual,Manual,First Owner,18.9,998,67.1,5.0,Wagon,60000-69999,900-999,15-19.990000000000002,60-79
Maruti,2004,75000,46000,Petrol,Individual,Manual,Fourth & Above Owner,16.1,796,37.0,4.0,800,40000-49999,700-799,15-19.990000000000002,20-39
Mahindra,2012,440000,120000,Diesel,Individual,Automatic,Third Owner,11.79,2179,120.0,8.0,Scorpio,120000-129999,2100-2199,10-14.99,120-139
Maruti,2016,390000,80000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5.0,Wagon,80000-89999,900-999,20-24.990000000000002,60-79
Toyota,2012,725000,159000,Diesel,Individual,Manual,Second Owner,12.8,2494,102.0,7.0,Innova,150000-159999,2400-2499,10-14.99,100-119
Mahindra,2012,325000,110000,Diesel,Individual,Manual,Second Owner,15.96,2523,62.1,7.0,Bolero,110000-119999,2500-2599,15-19.990000000000002,60-79
Maruti,2010,170000,75000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5.0,Alto,70000-79999,700-799,15-19.990000000000002,40-59
Maruti,2010,215000,120000,Diesel,Individual,Manual,Third Owner,19.3,1248,73.9,5.0,Swift,120000-129999,1200-1299,15-19.990000000000002,60-79
Honda,2010,350000,110000,Petrol,Individual,Manual,Third Owner,17.0,1497,118.0,5.0,City,110000-119999,1400-1499,15-19.990000000000002,100-119
Chevrolet,2009,80000,80000,Petrol,Individual,Manual,Fourth & Above Owner,18.0,995,62.0,5.0,Spark,80000-89999,900-999,15-19.990000000000002,60-79
Hyundai,2012,195000,80000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,5.0,EON,80000-89999,800-899,20-24.990000000000002,40-59
Nissan,2014,335000,71000,Diesel,Dealer,Manual,First Owner,21.64,1461,84.8,5.0,Sunny,70000-79999,1400-1499,20-24.990000000000002,80-99
Mahindra,2011,475000,108000,Diesel,Dealer,Manual,First Owner,16.0,2179,140.0,7.0,XUV500,100000-109999,2100-2199,15-19.990000000000002,140-159
Renault,2015,484999,75000,Diesel,Dealer,Manual,First Owner,19.87,1461,83.8,5.0,Duster,70000-79999,1400-1499,15-19.990000000000002,80-99
Maruti,2018,650000,22000,Petrol,Individual,Manual,Second Owner,21.56,1462,103.25,5.0,Ciaz,20000-29999,1400-1499,20-24.990000000000002,100-119
Audi,2014,1850000,76131,Diesel,Individual,Automatic,First Owner,13.22,2967,241.4,5.0,Q5,70000-79999,2900-2999,10-14.99,240-259
Hyundai,2018,700000,30000,Petrol,Individual,Manual,Second Owner,18.6,1197,81.83,5.0,i20,30000-39999,1100-1199,15-19.990000000000002,80-99
Audi,2014,3000000,65000,Diesel,Individual,Automatic,First Owner,12.07,2967,241.4,7.0,Q7,60000-69999,2900-2999,10-14.99,240-259
Mahindra,2018,900000,60000,Diesel,Individual,Manual,First Owner,15.4,2523,75.0,7.0,Scorpio,60000-69999,2500-2599,15-19.990000000000002,60-79
Volkswagen,2013,350000,80000,Diesel,Individual,Manual,First Owner,22.07,1199,73.9,5.0,Polo,80000-89999,1100-1199,20-24.990000000000002,60-79
Honda,2005,285000,80000,Petrol,Individual,Automatic,Second Owner,9.0,2997,218.0,5.0,Accord,80000-89999,2900-2999,5-9.99,200-219
Audi,2012,1850000,70000,Diesel,Individual,Automatic,First Owner,12.07,2967,241.4,7.0,Q7,70000-79999,2900-2999,10-14.99,240-259
Maruti,2017,750000,51777,Diesel,Dealer,Manual,First Owner,24.3,1248,88.5,5.0,Vitara,50000-59999,1200-1299,20-24.990000000000002,80-99
Land,2013,1650000,64788,Diesel,Dealer,Automatic,First Owner,0.0,2179,115.0,5.0,Rover,60000-69999,2100-2199,0-4.99,100-119
Honda,2018,600000,20000,Petrol,Individual,Manual,First Owner,19.5,1199,88.76,5.0,Amaze,20000-29999,1100-1199,15-19.990000000000002,80-99
Volkswagen,2018,565000,19000,Petrol,Individual,Manual,First Owner,18.78,999,75.0,5.0,Polo,10000-19999,900-999,15-19.990000000000002,60-79
Daewoo,2000,86000,46951,Petrol,Individual,Manual,First Owner,18.5,796,53.0,5.0,Matiz,40000-49999,700-799,15-19.990000000000002,40-59
Datsun,2016,329000,19000,Petrol,Individual,Manual,First Owner,20.63,1198,67.0,5.0,GO,10000-19999,1100-1199,20-24.990000000000002,60-79
Ford,2016,650000,50000,Diesel,Individual,Manual,First Owner,22.77,1498,98.59,5.0,EcoSport,50000-59999,1400-1499,20-24.990000000000002,80-99
Hyundai,2015,822000,60000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5.0,Creta,60000-69999,1500-1599,15-19.990000000000002,120-139
Renault,2013,345000,100000,Diesel,Individual,Manual,Second Owner,19.01,1461,108.45,5.0,Duster,100000-109999,1400-1499,15-19.990000000000002,100-119
Maruti,2001,30000,10000,Petrol,Individual,Manual,First Owner,17.3,993,60.0,5.0,Zen,10000-19999,900-999,15-19.990000000000002,60-79
Maruti,2012,330000,50000,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,5.0,Swift,50000-59999,1200-1299,20-24.990000000000002,60-79
Maruti,2014,300000,74537,Petrol,Individual,Manual,Second Owner,20.51,998,67.04,5.0,Wagon,70000-79999,900-999,20-24.990000000000002,60-79
Maruti,2009,200000,90000,Petrol,Individual,Automatic,Second Owner,12.6,1586,103.3,5.0,SX4,90000-99999,1500-1599,10-14.99,100-119
Chevrolet,2010,90000,70000,Petrol,Individual,Manual,Second Owner,18.0,995,62.0,5.0,Spark,70000-79999,900-999,15-19.990000000000002,60-79
Maruti,2010,200000,80000,Petrol,Individual,Manual,Second Owner,18.9,1061,67.0,5.0,Wagon,80000-89999,1000-1099,15-19.990000000000002,60-79
Hyundai,2016,550000,35000,Diesel,Individual,Manual,First Owner,24.4,1120,71.0,5.0,Xcent,30000-39999,1100-1199,20-24.990000000000002,60-79
Chevrolet,2015,250000,23500,Petrol,Individual,Manual,First Owner,18.6,1199,76.8,5.0,Beat,20000-29999,1100-1199,15-19.990000000000002,60-79
Honda,2017,975000,82000,Diesel,Individual,Manual,First Owner,25.6,1498,97.9,5.0,City,80000-89999,1400-1499,25-29.990000000000002,80-99
Toyota,2014,900000,100000,Diesel,Individual,Manual,Second Owner,12.99,2494,100.6,8.0,Innova,100000-109999,2400-2499,10-14.99,100-119
Hyundai,2018,610000,15000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5.0,i20,10000-19999,1100-1199,15-19.990000000000002,80-99
Maruti,2017,620000,30000,Diesel,Individual,Manual,First Owner,27.39,1248,74.0,5.0,Baleno,30000-39999,1200-1299,25-29.990000000000002,60-79
Hyundai,2016,400000,30000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,5.0,Grand,30000-39999,1100-1199,15-19.990000000000002,80-99
Maruti,2019,500000,11000,Petrol,Individual,Manual,First Owner,21.63,998,67.0,5.0,Celerio,10000-19999,900-999,20-24.990000000000002,60-79
Datsun,2017,200000,140000,Petrol,Individual,Manual,First Owner,19.02,1198,67.05,7.0,GO,140000-149999,1100-1199,15-19.990000000000002,60-79
Tata,2016,360000,110000,Diesel,Individual,Manual,First Owner,23.0,1248,88.7,5.0,Zest,110000-119999,1200-1299,20-24.990000000000002,80-99
Maruti,2012,252000,48000,Petrol,Individual,Manual,First Owner,20.92,998,67.1,5.0,Alto,40000-49999,900-999,20-24.990000000000002,60-79
Maruti,2012,280000,70000,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,5.0,Swift,70000-79999,1200-1299,20-24.990000000000002,60-79
Maruti,2018,509999,70000,Petrol,Individual,Manual,Second Owner,22.0,1197,81.8,5.0,Swift,70000-79999,1100-1199,20-24.990000000000002,80-99
Mahindra,2016,1050000,58000,Diesel,Individual,Manual,First Owner,15.4,1997,120.0,7.0,Scorpio,50000-59999,1900-1999,15-19.990000000000002,120-139
Maruti,2010,200000,40000,LPG,Individual,Manual,Fourth & Above Owner,17.3,1061,57.5,5.0,Wagon,40000-49999,1000-1099,15-19.990000000000002,40-59
Maruti,2005,60000,90000,Petrol,Individual,Manual,Second Owner,17.3,993,60.0,5.0,Zen,90000-99999,900-999,15-19.990000000000002,60-79
Mahindra,2010,320000,40000,Diesel,Individual,Manual,Second Owner,14.0,2498,112.0,7.0,Xylo,40000-49999,2400-2499,10-14.99,100-119
Mahindra,2013,520000,110000,Diesel,Individual,Manual,First Owner,12.05,2179,120.0,9.0,Scorpio,110000-119999,2100-2199,10-14.99,120-139
Tata,2007,250000,80000,Diesel,Individual,Manual,Second Owner,11.57,2179,138.1,7.0,New,80000-89999,2100-2199,10-14.99,120-139
Maruti,2017,725000,60000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5.0,Vitara,60000-69999,1200-1299,20-24.990000000000002,80-99
Mahindra,2015,585000,50000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7.0,Bolero,50000-59999,2500-2599,15-19.990000000000002,60-79
Tata,2017,430000,25000,Petrol,Individual,Manual,First Owner,23.84,1199,84.0,5.0,Tiago,20000-29999,1100-1199,20-24.990000000000002,80-99
Maruti,2011,235000,100000,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,5.0,Swift,100000-109999,1200-1299,20-24.990000000000002,60-79
Maruti,2012,350000,52000,Diesel,Individual,Manual,Third Owner,19.3,1248,73.9,5.0,Swift,50000-59999,1200-1299,15-19.990000000000002,60-79
Hyundai,2010,131000,80000,Petrol,Individual,Manual,Third Owner,19.81,1086,68.05,5.0,i10,80000-89999,1000-1099,15-19.990000000000002,60-79
Honda,2016,450000,85000,Diesel,Individual,Manual,First Owner,25.8,1498,98.6,5.0,Amaze,80000-89999,1400-1499,25-29.990000000000002,80-99
Maruti,2016,750000,83000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5.0,Vitara,80000-89999,1200-1299,20-24.990000000000002,80-99
Maruti,2013,200000,50000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5.0,Alto,50000-59999,700-799,20-24.990000000000002,40-59
Maruti,2009,125000,120000,Petrol,Individual,Manual,Fourth & Above Owner,18.9,1061,67.0,5.0,Wagon,120000-129999,1000-1099,15-19.990000000000002,60-79
Mahindra,2014,500000,100000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7.0,Bolero,100000-109999,2500-2599,15-19.990000000000002,60-79
Maruti,2012,380000,70000,Diesel,Individual,Manual,Third Owner,22.9,1248,74.0,5.0,Swift,70000-79999,1200-1299,20-24.990000000000002,60-79
Maruti,2008,128000,19000,Petrol,Individual,Manual,First Owner,19.7,796,46.3,5.0,Alto,10000-19999,700-799,15-19.990000000000002,40-59
Honda,2009,250000,68600,Petrol,Individual,Manual,Third Owner,17.0,1497,118.0,5.0,City,60000-69999,1400-1499,15-19.990000000000002,100-119
Mahindra,2017,690000,60000,Diesel,Individual,Manual,First Owner,16.5,1493,70.0,7.0,Bolero,60000-69999,1400-1499,15-19.990000000000002,60-79
Mahindra,2014,650000,65000,Diesel,Individual,Manual,Second Owner,15.96,2523,62.1,7.0,Bolero,60000-69999,2500-2599,15-19.990000000000002,60-79
Honda,2012,560000,40000,Petrol,Individual,Manual,Second Owner,16.8,1497,116.3,5.0,City,40000-49999,1400-1499,15-19.990000000000002,100-119
Maruti,2016,400000,25000,Petrol,Individual,Manual,First Owner,23.1,998,67.04,5.0,Celerio,20000-29999,900-999,20-24.990000000000002,60-79
Maruti,2012,200000,29500,Petrol,Individual,Manual,First Owner,20.92,998,67.1,5.0,Alto,20000-29999,900-999,20-24.990000000000002,60-79
Hyundai,2018,950000,13887,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,5.0,Verna,10000-19999,1500-1599,15-19.990000000000002,120-139
Maruti,2016,300000,50000,Petrol,Individual,Manual,Second Owner,22.74,796,47.3,5.0,Alto,50000-59999,700-799,20-24.990000000000002,40-59
Renault,2016,315000,30000,Petrol,Individual,Manual,Second Owner,25.17,799,53.3,5.0,KWID,30000-39999,700-799,25-29.990000000000002,40-59
Maruti,2012,220000,100000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5.0,Alto,100000-109999,700-799,20-24.990000000000002,40-59
Chevrolet,2011,130000,60000,Petrol,Individual,Manual,Second Owner,14.49,1399,92.7,5.0,Aveo,60000-69999,1300-1399,10-14.99,80-99
Hyundai,2016,595000,60000,Diesel,Individual,Manual,Second Owner,22.54,1396,88.73,5.0,i20,60000-69999,1300-1399,20-24.990000000000002,80-99
Tata,2011,110000,120000,Diesel,Individual,Manual,First Owner,19.4,1405,70.0,5.0,Indica,120000-129999,1400-1499,15-19.990000000000002,60-79
Ford,2017,680000,13500,Petrol,Individual,Manual,First Owner,17.0,1497,121.36,5.0,EcoSport,10000-19999,1400-1499,15-19.990000000000002,120-139
Fiat,2013,280000,52000,Diesel,Individual,Manual,First Owner,20.3,1248,75.0,5.0,Grande,50000-59999,1200-1299,20-24.990000000000002,60-79
Maruti,2017,530000,30000,Petrol,Individual,Manual,Second Owner,21.4,1197,83.1,5.0,Baleno,30000-39999,1100-1199,20-24.990000000000002,80-99
Hyundai,2017,610000,14000,Petrol,Individual,Manual,First Owner,19.1,1197,82.0,5.0,Xcent,10000-19999,1100-1199,15-19.990000000000002,80-99
Tata,2014,500000,90000,Diesel,Individual,Manual,Second Owner,15.05,2179,147.9,7.0,Aria,90000-99999,2100-2199,15-19.990000000000002,140-159
Tata,2018,500000,50000,Diesel,Individual,Manual,First Owner,24.7,1047,69.0,5.0,Tigor,50000-59999,1000-1099,20-24.990000000000002,60-79
Mahindra,2010,250000,120000,Diesel,Individual,Manual,Second Owner,13.0,2489,95.0,8.0,Xylo,120000-129999,2400-2499,10-14.99,80-99
Hyundai,2018,325000,10000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5.0,EON,10000-19999,800-899,20-24.990000000000002,40-59
Maruti,2018,550000,10000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5.0,Baleno,10000-19999,1100-1199,20-24.990000000000002,80-99
Maruti,2018,720000,25000,Petrol,Individual,Manual,First Owner,20.73,1373,91.1,5.0,Ciaz,20000-29999,1300-1399,20-24.990000000000002,80-99
Hyundai,2017,950000,20000,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,5.0,Verna,20000-29999,1500-1599,15-19.990000000000002,120-139
Maruti,2013,350000,60000,Diesel,Individual,Manual,First Owner,22.9,1248,74.0,5.0,Swift,60000-69999,1200-1299,20-24.990000000000002,60-79
Hyundai,2018,500000,40000,Petrol,Individual,Manual,First Owner,18.9,1197,81.86,5.0,Grand,40000-49999,1100-1199,15-19.990000000000002,80-99
Maruti,2012,380000,60000,Diesel,Individual,Manual,First Owner,19.3,1248,73.9,5.0,Swift,60000-69999,1200-1299,15-19.990000000000002,60-79
Hyundai,2015,380000,50000,Petrol,Individual,Automatic,First Owner,16.9,1197,82.0,5.0,Xcent,50000-59999,1100-1199,15-19.990000000000002,80-99
Hyundai,2017,900000,20000,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,5.0,Verna,20000-29999,1500-1599,15-19.990000000000002,120-139
Maruti,2017,295000,35000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,5.0,Alto,30000-39999,700-799,20-24.990000000000002,40-59
Maruti,2016,640000,40000,Diesel,Individual,Manual,First Owner,28.09,1248,88.5,5.0,Ciaz,40000-49999,1200-1299,25-29.990000000000002,80-99
Tata,2018,790000,60000,Diesel,Individual,Manual,First Owner,21.5,1497,108.5,5.0,Nexon,60000-69999,1400-1499,20-24.990000000000002,100-119
Hyundai,2015,625000,20000,Petrol,Individual,Manual,First Owner,17.01,1591,121.4,5.0,Verna,20000-29999,1500-1599,15-19.990000000000002,120-139
Ford,2017,604000,30000,Petrol,Individual,Manual,Second Owner,17.0,1497,121.36,5.0,EcoSport,30000-39999,1400-1499,15-19.990000000000002,120-139
Maruti,2015,315000,29000,Petrol,Individual,Manual,First Owner,23.95,998,67.05,5.0,Alto,20000-29999,900-999,20-24.990000000000002,60-79
Mahindra,2019,950000,17000,Diesel,Individual,Manual,First Owner,20.0,1497,115.0,5.0,XUV300,10000-19999,1400-1499,20-24.990000000000002,100-119
Maruti,2017,400000,50000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5.0,Wagon,50000-59999,900-999,20-24.990000000000002,60-79
Hyundai,2018,700000,42000,Petrol,Individual,Automatic,First Owner,18.6,1368,98.63,5.0,i20,40000-49999,1300-1399,15-19.990000000000002,80-99
Toyota,2011,700000,120000,Diesel,Individual,Manual,Second Owner,12.8,2494,102.0,8.0,Innova,120000-129999,2400-2499,10-14.99,100-119
Mahindra,2012,260000,110000,Diesel,Individual,Manual,First Owner,21.03,1461,65.0,5.0,Verito,110000-119999,1400-1499,20-24.990000000000002,60-79
Tata,2012,200000,90000,Diesel,Individual,Manual,First Owner,23.57,1396,70.0,5.0,Indigo,90000-99999,1300-1399,20-24.990000000000002,60-79
Maruti,2020,580000,70000,Petrol,Individual,Manual,First Owner,23.26,1197,88.5,5.0,Dzire,70000-79999,1100-1199,20-24.990000000000002,80-99
Volkswagen,2011,330000,66000,Diesel,Individual,Manual,Second Owner,20.5,1598,105.0,5.0,Vento,60000-69999,1500-1599,20-24.990000000000002,100-119
Hyundai,2011,400000,70000,Diesel,Individual,Manual,Third Owner,16.2,1493,110.0,5.0,Verna,70000-79999,1400-1499,15-19.990000000000002,100-119
Hyundai,2018,1350000,5000,Petrol,Individual,Automatic,First Owner,14.8,1591,121.3,5.0,Creta,0-9999,1500-1599,10-14.99,120-139
Mahindra,2014,250000,50000,Diesel,Individual,Manual,Second Owner,21.03,1461,65.0,5.0,Verito,50000-59999,1400-1499,20-24.990000000000002,60-79
Skoda,2019,725000,25000,Petrol,Individual,Manual,First Owner,15.41,1598,103.2,5.0,Rapid,20000-29999,1500-1599,15-19.990000000000002,100-119
Maruti,2013,300000,70000,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,5.0,Swift,70000-79999,1200-1299,20-24.990000000000002,60-79
Maruti,2006,120000,40000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,4.0,800,40000-49999,700-799,15-19.990000000000002,20-39
Mahindra,2016,1175000,110000,Diesel,Individual,Manual,First Owner,16.0,2179,140.0,7.0,XUV500,110000-119999,2100-2199,15-19.990000000000002,140-159
Tata,2009,380000,150000,Diesel,Individual,Manual,First Owner,13.93,2179,138.0,7.0,New,150000-159999,2100-2199,10-14.99,120-139
Tata,2014,400000,45000,Diesel,Individual,Manual,First Owner,19.1,1405,70.0,5.0,Indica,40000-49999,1400-1499,15-19.990000000000002,60-79
Tata,2005,140000,90000,Diesel,Individual,Manual,Third Owner,16.1,1405,70.0,5.0,Indigo,90000-99999,1400-1499,15-19.990000000000002,60-79
Tata,2011,229999,140000,Diesel,Individual,Manual,Second Owner,11.57,2179,138.1,7.0,New,140000-149999,2100-2199,10-14.99,120-139
Ford,2003,110000,83000,Petrol,Individual,Manual,Second Owner,13.8,1299,70.0,5.0,Ikon,80000-89999,1200-1299,10-14.99,60-79
Volkswagen,2011,550000,106000,Diesel,Individual,Automatic,Second Owner,16.96,1968,138.1,5.0,Jetta,100000-109999,1900-1999,15-19.990000000000002,120-139
Chevrolet,2008,150000,60000,Petrol,Individual,Manual,Fourth & Above Owner,15.26,1150,74.9,5.0,Aveo,60000-69999,1100-1199,15-19.990000000000002,60-79
Maruti,2017,265000,40000,Petrol,Individual,Manual,Second Owner,16.8,796,34.2,8.0,Omni,40000-49999,700-799,15-19.990000000000002,20-39
Hyundai,2011,300000,138000,Petrol,Individual,Manual,Third Owner,17.0,1197,80.0,5.0,i20,130000-139999,1100-1199,15-19.990000000000002,80-99
Maruti,2015,280000,80000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5.0,Alto,80000-89999,700-799,20-24.990000000000002,40-59
Hyundai,2005,130000,50000,Petrol,Individual,Manual,Second Owner,15.3,1341,83.0,5.0,Getz,50000-59999,1300-1399,15-19.990000000000002,80-99
Chevrolet,2015,350000,50000,Petrol,Individual,Manual,First Owner,18.2,1199,82.4,5.0,Sail,50000-59999,1100-1199,15-19.990000000000002,80-99
Maruti,2009,200000,120000,Petrol,Individual,Manual,First Owner,18.5,1197,85.8,5.0,Ritz,120000-129999,1100-1199,15-19.990000000000002,80-99
Maruti,2018,550000,24400,Petrol,Individual,Manual,First Owner,22.0,1197,81.8,5.0,Swift,20000-29999,1100-1199,20-24.990000000000002,80-99
Mahindra,2013,400000,60000,Diesel,Individual,Manual,Second Owner,15.96,2523,62.1,7.0,Bolero,60000-69999,2500-2599,15-19.990000000000002,60-79
Maruti,2010,170000,120000,Petrol,Individual,Manual,Second Owner,18.5,1197,85.8,5.0,Ritz,120000-129999,1100-1199,15-19.990000000000002,80-99
Hyundai,2015,600000,60000,Diesel,Individual,Manual,Second Owner,24.8,1396,88.7,5.0,Verna,60000-69999,1300-1399,20-24.990000000000002,80-99
Maruti,2011,130000,100000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5.0,Alto,100000-109999,700-799,15-19.990000000000002,40-59
Maruti,2011,100000,120000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,4.0,800,120000-129999,700-799,15-19.990000000000002,20-39
Renault,2016,310000,27500,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5.0,KWID,20000-29999,700-799,25-29.990000000000002,40-59
Maruti,2007,35000,10000,Petrol,Individual,Manual,First Owner,16.1,796,37.0,4.0,800,10000-19999,700-799,15-19.990000000000002,20-39
Hyundai,2010,200000,120000,Petrol,Individual,Manual,Third Owner,18.5,1197,80.0,5.0,i20,120000-129999,1100-1199,15-19.990000000000002,80-99
Hyundai,2015,650000,80000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5.0,i20,80000-89999,1300-1399,20-24.990000000000002,80-99
Tata,2013,210000,120000,Petrol,Individual,Manual,First Owner,15.64,1193,64.1,5.0,Indigo,120000-129999,1100-1199,15-19.990000000000002,60-79
Hyundai,2015,509999,90000,Diesel,Individual,Manual,First Owner,24.4,1120,71.01,5.0,Xcent,90000-99999,1100-1199,20-24.990000000000002,60-79
Ford,2013,229999,70000,Diesel,Individual,Manual,First Owner,20.0,1399,68.1,5.0,Figo,70000-79999,1300-1399,20-24.990000000000002,60-79
Renault,2014,409999,188000,Diesel,Individual,Manual,Second Owner,19.01,1461,108.45,5.0,Duster,180000-189999,1400-1499,15-19.990000000000002,100-119
Chevrolet,2011,130000,67840,Petrol,Individual,Manual,First Owner,18.0,995,62.0,5.0,Spark,60000-69999,900-999,15-19.990000000000002,60-79
Tata,2013,95000,30000,Petrol,Individual,Manual,First Owner,25.4,624,37.48,4.0,Nano,30000-39999,600-699,25-29.990000000000002,20-39
Maruti,2016,225000,35000,Petrol,Individual,Manual,Second Owner,22.74,796,47.3,5.0,Alto,30000-39999,700-799,20-24.990000000000002,40-59
Maruti,2017,775000,100000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5.0,Vitara,100000-109999,1200-1299,20-24.990000000000002,80-99
Maruti,2017,420000,30000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5.0,Wagon,30000-39999,900-999,20-24.990000000000002,60-79
Hyundai,2016,480000,70000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,5.0,Grand,70000-79999,1100-1199,15-19.990000000000002,80-99
Mahindra,2010,260000,380000,Diesel,Individual,Manual,Second Owner,13.6,2523,63.0,7.0,Bolero,380000-389999,2500-2599,10-14.99,60-79
Volkswagen,2018,600000,15000,Petrol,Individual,Manual,First Owner,16.2,1199,74.0,5.0,Polo,10000-19999,1100-1199,15-19.990000000000002,60-79
Ford,2009,140000,140000,Diesel,Individual,Manual,Second Owner,13.8,1399,68.0,5.0,Ikon,140000-149999,1300-1399,10-14.99,60-79
Maruti,2010,130000,120000,Petrol,Individual,Manual,Third Owner,19.7,796,35.0,8.0,Omni,120000-129999,700-799,15-19.990000000000002,20-39
Maruti,2007,195000,112880,Diesel,Dealer,Manual,First Owner,25.2,1248,74.0,5.0,Swift,110000-119999,1200-1299,25-29.990000000000002,60-79
Tata,2013,210000,135000,Diesel,Dealer,Manual,Second Owner,19.4,1405,70.0,5.0,Indica,130000-139999,1400-1499,15-19.990000000000002,60-79
Maruti,2006,130000,80000,Petrol,Individual,Manual,Third Owner,18.9,998,67.1,5.0,Wagon,80000-89999,900-999,15-19.990000000000002,60-79
Chevrolet,2012,141000,128000,Petrol,Individual,Manual,Third Owner,18.6,1199,79.4,5.0,Beat,120000-129999,1100-1199,15-19.990000000000002,60-79
Mahindra,2011,280000,120000,Diesel,Individual,Manual,First Owner,13.6,2523,63.0,7.0,Bolero,120000-129999,2500-2599,10-14.99,60-79
Maruti,2010,350000,30000,Petrol,Individual,Automatic,First Owner,12.6,1586,103.2,5.0,SX4,30000-39999,1500-1599,10-14.99,100-119
Tata,2018,575000,70000,Petrol,Individual,Manual,First Owner,17.0,1198,108.5,5.0,Nexon,70000-79999,1100-1199,15-19.990000000000002,100-119
Hyundai,2015,550000,41000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5.0,i20,40000-49999,1100-1199,15-19.990000000000002,80-99
Maruti,2006,120000,30000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5.0,Alto,30000-39999,700-799,15-19.990000000000002,40-59
Maruti,2015,320000,30000,Petrol,Individual,Manual,First Owner,23.95,998,67.05,5.0,Alto,30000-39999,900-999,20-24.990000000000002,60-79
Hyundai,2011,250000,35000,Petrol,Individual,Manual,First Owner,16.36,1495,93.7,5.0,Accent,30000-39999,1400-1499,15-19.990000000000002,80-99
Maruti,2010,300000,22000,Petrol,Individual,Manual,First Owner,15.0,1586,104.68,5.0,SX4,20000-29999,1500-1599,15-19.990000000000002,100-119
Maruti,2006,250000,70000,Petrol,Individual,Manual,First Owner,18.9,998,67.1,5.0,Wagon,70000-79999,900-999,15-19.990000000000002,60-79
Mahindra,2018,750000,70000,Diesel,Individual,Manual,First Owner,16.5,1493,70.0,7.0,Bolero,70000-79999,1400-1499,15-19.990000000000002,60-79
Mahindra,2005,151000,200000,Diesel,Individual,Manual,Second Owner,10.5,2179,120.0,8.0,Scorpio,200000-209999,2100-2199,10-14.99,120-139
Tata,2011,300000,120000,Diesel,Individual,Manual,First Owner,13.93,2179,138.03,7.0,Safari,120000-129999,2100-2199,10-14.99,120-139
Maruti,2019,577000,3000,Petrol,Individual,Manual,First Owner,20.89,1197,81.8,5.0,Ignis,0-9999,1100-1199,20-24.990000000000002,80-99
